t,pid,x,y,z,vx,vy,vz
3.2,1,2.1447989632853832,1.8504971350535633,0,-0.19224636336047615,-0.23030704673255648,0
3.21,0,1.7072341697890616,1.3071304325561597,0,-0.3599554424047372,0.34703325414606867,0
3.21,1,2.1428625869854652,1.8482058221060242,0,-0.19502889662316872,-0.22795554277522964,0
3.22,0,1.7036550488402342,1.3106217126803452,0,-0.35586874736076107,0.35122277069102847,0
3.22,1,2.1408985313544591,1.8459381903494732,0,-0.1977822295780774,-0.22557080853498057,0
3.23,0,1.7001170323112598,1.3141546411020879,0,-0.35173455843413515,0.35536291365749456,0
3.23,1,2.1389070903858864,1.8436945702208096,0,-0.20050596413648261,-0.22315321719773554,0
3.24,0,1.6966205921638235,1.3177287215435765,0,-0.34755347105310697,0.35945317464022641,0
3.24,1,2.1368885620290614,1.8414752884011063,0,-0.20319970722853833,-0.22070314674294178,0
3.25,0,1.6931661943818264,1.3213434526786241,0,-0.34332608534635001,0.36349305236930007,0
3.25,1,2.1348432481386119,1.8392806677680402,0,-0.20586307086134845,-0.21822097987025815,0
3.26,0,1.6897542989247973,1.3249983282041438,0,-0.33905300605943528,0.36748205273463419,0
3.26,1,2.132771454423426,1.8371110273490612,0,-0.20849567217584236,-0.21570710392554032,0
3.27,0,1.6863853596821414,1.3286928369118649,0,-0.33473484247172697,0.37141968880961068,0
3.27,1,2.1306734903950346,1.8349666822753028,0,-0.21109713350244155,-0.21316191082614303,0
3.28,0,1.6830598244282142,1.332426462760282,0,-0.33037220831370984,0.37530548087381116,0
3.28,1,2.1285496693154449,1.8328479437362444,0,-0.213667082415509,-0.21058579698556185,0
3.29,0,1.6797781347782219,1.3361986849468255,0,-0.32596572168475452,0.37913895643488954,0
3.29,1,2.1264003081444343,1.8307551189351294,0,-0.21620515178657421,-0.20797916323743729,0
3.3,0,1.6765407261449414,1.340008977980248,0,-0.32151600497132721,0.38291965024960184,0
3.3,1,2.1242257274863197,1.8286885110451476,0,-0.21871097983632698,-0.20534241475894344,0
3.31,0,1.6733480276962565,1.3438568117532161,0,-0.31702368476564868,0.38664710434401356,0
3.31,1,2.1220262515362109,1.826648419166385,0,-0.2211842101853731,-0.20267596099358423,0
3.32,0,1.6702004623135043,1.3477416516151008,0,-0.31248939178480795,0.39032086803290533,0
