t,x,y,z,vx,vy,vz
1.22522,0.94084663447563555,-0.66116728257756763,0,0.33883271742243271,-0.94084663447563555,0
1.25664,0.95102457772308213,-0.69088472608647522,0,0.30911527391352517,-0.95102457772308213,0
1.28805,0.96026412887371393,-0.72090717888414335,0,0.27909282111585698,-0.96026412887371393,0
1.31947,0.96855617110554659,-0.75120501730669187,0,0.24879498269330846,-0.96855617110554659,0
1.35088,0.97589252251973213,-0.78174834596256915,0,0.21825165403743124,-0.97589252251973213,0
1.3823,0.98226594421377766,-0.81250702723084234,0,0.187492972769158,-0.98226594421377766,0
1.41372,0.98767014742429327,-0.84345071099850011,0,0.15654928900150022,-0.98767014742429327,0
1.44513,0.9920997997322214,-0.87454886460742387,0,0.12545113539257643,-0.9920997997322214,0
1.47655,0.99555053032442575,-0.90577080298148038,0,0.094229197018519978,-0.99555053032442575,0
1.50796,0.99801893430644628,-0.93708571890400683,0,0.062914281095993563,-0.99801893430644628,0
1.53938,0.99950257606216675,-0.96846271341581491,0,0.031537286584185448,-0.99950257606216675,0
1.5708,0.99999999165707831,-0.99987082630371849,0,0.00012917369628190345,-0.99999999165707831,0
1.60221,0.99951069028276862,-1.0312790666495011,0,-0.031279066649500802,-0.99951069028276862,0
1.63363,0.99803515474121074,-1.0626564434091819,0,-0.062656443409181556,-0.99803515474121074,0
1.66504,0.99557484096837445,-1.0939719959924039,0,-0.09397199599240362,-0.99557484096837445,0
1.69646,0.99213217659762931,-1.1251948248117751,0,-0.1251948248117748,-0.99213217659762931,0
1.72788,0.98771055856435752,-1.1562941217720153,0,-0.1562941217720149,-0.98771055856435752,0
1.75929,0.98231434975414034,-1.1872392006688268,0,-0.18723920066882641,-0.98231434975414034,0
1.79071,0.97594887469782465,-1.2179995274674935,0,-0.21799952746749318,-0.97594887469782465,0
1.82212,0.96862041431771817,-1.2485447504313314,0,-0.24854475043133095,-0.96862041431771817,0
1.85354,0.96033619973009643,-1.2788447300702617,0,-0.27884473007026123,-0.96033619973009643,0
1.88496,0.95110440511013805,-1.3088695688799583,0,-0.30886956887995776,-0.95110440511013805,0
1.91637,0.94093413962632677,-1.3385896408422222,0,-0.33858964084222176,-0.94093413962632677,0
1.94779,0.92983543845228078,-1.3679756206574774,0,-0.36797562065747691,-0.92983543845228078,0
1.9792,0.91781925286487609,-1.3969985126805409,0,-0.39699851268054037,-0.91781925286487609,0
2.01062,0.90489743943843615,-1.4256296795311187,0,-0.42562967953111824,-0.90489743943843615,0
2.04204,0.89108274834564816,-1.4538408703507952,0,-0.45384087035079473,-0.89108274834564816,0
2.07345,0.87638881077675179,-1.4816042486786345,0,-0.48160424867863388,-0.87638881077675179,0
2.10487,0.86083012548941185,-1.5088924199178888,0,-0.50889241991788814,-0.86083012548941185,0
2.13628,0.8444220445025481,-1.5356784583667127,0,-0.53567845836671213,-0.8444220445025481,0
2.1677,0.82718075794823787,-1.5619359337862102,0,-0.56193593378620965,-0.82718075794823787,0
2.19911,0.80912327809663742,-1.5876389374795998,0,-0.58763893747959917,-0.80912327809663742,0
2.23053,0.7902674225696863,-1.6127621078567655,0,-0.61276210785676499,-0.7902674225696863,0
2.26195,0.77063179676015736,-1.6372806554589689,0,-0.63728065545896839,-0.77063179676015736,0
2.29336,0.75023577547339981,-1.6611703874190284,0,-0.66117038741902778,-0.75023577547339981,0
2.32478,0.72909948380988976,-1.6844077313328321,0,-0.6844077313328315,-0.72909948380988976,0
2.35619,0.70724377730745203,-1.7069697585186292,0,-0.70696975851862875,-0.70724377730745203,0
2.38761,0.68469022136274671,-1.72883420664115,0,-0.72883420664114951,-0.68469022136274671,0
2.41903,0.66146106995232656,-1.7499795016782291,0,-0.7499795016782288,-0.66146106995232656,0
2.45044,0.63757924367426,-1.7703847792082605,0,-0.7703847792082601,-0.63757924367426,0
2.48186,0.61306830713198812,-1.7900299049974755,0,-0.79002990499747494,-0.61306830713198812,0
2.51327,0.58795244568273053,-1.8088954948667335,0,-0.80889549486673296,-0.58795244568273053,0
2.54469,0.56225644157338261,-1.8269629338182209,0,-0.82696293381822039,-0.56225644157338261,0
2.57611,0.53600564948745166,-1.8442143944031855,0,-0.8442143944031848,-0.53600564948745166,0
2.60752,0.50922597152716054,-1.8606328543125819,0,-0.86063285431258107,-0.50922597152716054,0
2.63894,0.48194383165540339,-1.8762021131732738,0,-0.87620211317327301,-0.48194383165540339,0
2.67035,0.45418614962277293,-1.8909068085332172,0,-0.89090680853321635,-0.45418614962277293,0
2.70177,0.42598031440538553,-1.9047324310198521,0,-0.90473243101985124,-0.42598031440538553,0
2.73319,0.3973541571797134,-1.917665338656747,0,-0.91766533865674615,-0.3973541571797134,0
2.7646,0.36833592386109038,-1.9296927703243689,0,-0.92969277032436792,-0.36833592386109038,0
2.79602,0.33895424723298767,-1.9408028583516961,0,-0.94080285835169508,-0.33895424723298767,0
2.82743,0.30923811869456025,-1.950984640226251,0,-0.95098464022624996,-0.30923811869456025,0
2.85885,0.27921685965434118,-1.9602280694109973,0,-0.96022806941099625,-0.27921685965434118,0
2.89027,0.24892009259830994,-1.9685240252574283,0,-0.96852402525742742,-0.24892009259830994,0
2.92168,0.2183777118608827,-1.9758643220050665,0,-0.97586432200506557,-0.2183777118608827,0
2.9531,0.18761985412766491,-1.9822417168584912,0,-0.98224171685849038,-0.18761985412766491,0
2.98451,0.15667686869907205,-1.9876499171339288,0,-0.98764991713392791,-0.15667686869907205,0
3.01593,0.12557928754415956,-1.9920835864683499,0,-0.99208358646834904,-0.12557928754415956,0
3.04734,0.094357795174210765,-1.99553835008495,0,-0.99553835008494906,-0.094357795174210765,0
3.07876,0.063043198365808503,-1.9980107991098153,0,-0.99801079910981438,-0.063043198365808517,0
3.11018,0.031666395763265742,-1.9994984939355172,0,-0.99949849393551626,-0.031666395763265756,0
3.14159,0.00025834739040860727,-1.9999999666283137,0,-0.99999996662831292,-0.00025834739040862115,0
3.17301,-0.031149955898204726,-1.9995147223765855,0,-0.99951472237658456,0.031149955898204712,0
3.20442,-0.062527522996486368,-1.9980432399790735,0,-0.99804323997907274,0.062527522996486368,0
3.23584,-0.09384339312626927,-1.9955869713724417,0,-0.99558697137244101,0.093843393126269284,0
3.26726,-0.12506666638683267,-1.9921483401986253,0,-0.99214834019862463,0.12506666638683267,0
3.29867,-0.15616653424435867,-1.9877307394133827,0,-0.98773073941338219,0.15616653424435867,0
3.33009,-0.18711230993123573,-1.9823385279384085,0,-0.98233852793840792,0.18711230993123573,0
3.3615,-0.21787345872521313,-1.9759770263603109,0,-0.97597702636031036,0.21787345872521313,0
3.39292,-0.24841962807852988,-1.9686525116806992,0,-0.96865251168069866,0.24841962807852988,0
3.42434,-0.27872067756728891,-1.9603722111225592,0,-0.96037221112255877,0.27872067756728891,0
3.45575,-0.30874670863152498,-1.9511442949990303,0,-0.95114429499902986,0.30874670863152498,0
3.48717,-0.33846809407662148,-1.9409778686516179,0,-0.94097786865161748,0.33846809407662148,0
3.51858,-0.36785550730696631,-1.929882963465799,0,-0.92988296346579868,0.36785550730696631,0
3.55,-0.39687995126300163,-1.917870526972884,0,-0.91787052697288352,0.39687995126300163,0
3.58142,-0.4255127870331149,-1.9049524120479007,0,-0.90495241204790011,0.4255127870331149,0
3.61283,-0.45372576211213911,-1.8911413652141622,0,-0.89114136521416176,0.45372576211213911,0
3.64425,-0.48149103827857931,-1.876451014066056,0,-0.87645101406605563,0.48149103827857931,0
3.67566,-0.5087812190630584,-1.8608958538224647,0,-0.86089585382246425,0.5087812190630584,0
3.70708,-0.53556937678087857,-1.8444912330240875,0,-0.84449123302408702,0.53556937678087857,0
3.7385,-0.56182907910202484,-1.8272533383887748,0,-0.82725333838877446,0.56182907910202484,0
3.76991,-0.58753441513239424,-1.809199178839819,0,-0.80919917883981873,0.58753441513239424,0
3.80133,-0.61266002098051431,-1.7903465687229607,0,-0.7903465687229605,0.61266002098051431,0
3.83274,-0.63718110478452605,-1.7707141102286714,0,-0.77071411022867131,0.63718110478452605,0
3.86416,-0.66107347117473436,-1.7503211750370566,0,-0.75032117503705664,0.66107347117473436,0
3.89557,-0.68431354514759057,-1.7291878852034901,0,-0.72918788520349009,0.68431354514759057,0
3.92699,-0.70687839532754837,-1.70733509330384,0,-0.70733509330383992,0.70687839532754837,0
3.95841,-0.72874575659384144,-1.6847843618588785,0,-0.68478436185887837,0.72874575659384144,0
3.98982,-0.74989405204985626,-1.6615579420581761,0,-0.66155794205817608,0.74989405204985626,0
4.02124,-0.77030241431342228,-1.637678751804476,0,-0.63767875180447586,0.77030241431342228,0
4.05265,-0.7899507061070119,-1.6131703531002091,0,-0.61317035310020895,0.7899507061070119,0
4.08407,-0.80881954012753443,-1.5880569287984672,0,-0.58805692879846694,0.80881954012753443,0
4.11549,-0.82689029817611714,-1.5623632587413707,0,-0.56236325874137039,0.82689029817611714,0
4.1469,-0.844145149528998,-1.5361146953093781,0,-0.53611469530937783,0.844145149528998,0
4.17832,-0.86056706853140374,-1.5093371384056615,0,-0.50933713840566119,0.86056706853140374,0
4.20973,-0.8761398513970523,-1.4820570099002326,0,-0.4820570099002322,0.8761398513970523,0
4.24115,-0.89084813219670389,-1.4543012275590346,0,-0.45430122755903429,0.89084813219670389,0
4.27257,-0.90467739801998437,-1.4260971784837262,0,-0.42609717848372597,0.90467739801998437,0
4.30398,-0.91761400329552023,-1.3974726920883629,0,-0.39747269208836278,0.91761400329552023,0
4.3354,-0.92964518325525547,-1.3684560126396421,0,-0.36845601263964189,0.92964518325525547,0
4.36681,-0.94075906652966501,-1.339075771387805,0,-0.3390757713878047,0.94075906652966501,0
4.39823,-0.95094468686143652,-1.3093609583156964,0,-0.3093609583156961,0.95094468686143652,0
4.42965,-0.9601919939260628,-1.2793408935338564,0,-0.27934089353385616,0.9601919939260628,0
4.46106,-0.96849186324866743,-1.2490451983498696,0,-0.24904519834986938,0.96849186324866743,0
